date,symbol,ofi_window,ofi_thresh,bucket,net_bps,net_pkr,capture_pkr,markout_pkr,liq_pkr,fee_pkr,markout_bps,opened_notional,fills,throttle
2025-09-15,AKBL,OFF,,first15,-2.737340000000606,-0.3006967990000665,3.379999999999697,-3.5099999999997635,0.0,0.170696799,-31.95266272189134,1098.5,2,OFF
2025-09-15,AKBL,OFF,,middle,-6.341444381137387,-364.81677624201,1118.5099999999802,-1393.9899999999902,0.0,89.336776242,-24.2310952471042,575289.72,24,OFF
2025-09-15,AKBL,OFF,,preclose45,-27.08428464566497,-1322.4776800639977,148.61000000005805,-1396.330000000056,1.1999999999999318,75.95768006400002,-28.596776905492085,488282.3000000001,19,OFF
2025-09-15,AKBL,OFF,,last15,0.5537683484281899,2.3958870659997906,0.0,0.0,9.119999999999791,6.724112934000001,0.0,43265.15000000001,7,OFF
2025-09-15,ATRL,OFF,,first15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,OFF
2025-09-15,ATRL,OFF,,middle,14.367362199059128,1051.786269154043,568.6500000000397,596.8900000000034,0.0,113.753730846,8.153495700123521,732066.3699999999,17,OFF
2025-09-15,ATRL,OFF,,preclose45,-4.190155397940818,-254.73726680800024,169.50500000001375,-622.5450000000023,292.7999999999884,94.497266808,-10.24019895046292,607942.29,10,OFF
2025-09-15,ATRL,OFF,,last15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,OFF
2025-09-15,DGKC,OFF,,first15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,OFF
2025-09-15,DGKC,OFF,,middle,-18.462889286917974,-2769.7610354709823,1158.6600000000003,-3695.049999999983,0.0,233.37103547100008,-24.63075268441897,1500177.46,39,OFF
2025-09-15,DGKC,OFF,,preclose45,-12.940289583916286,-1315.5021137480478,536.8199999999099,-1694.1199999999576,0.0,158.20211374800004,-16.66466603192582,1016594.03,27,OFF
2025-09-15,DGKC,OFF,,last15,42.680938874805015,915.0303317579912,-24.59999999999974,126.29999999999715,846.7199999999939,33.389668242,5.891173650529289,214388.52,4,OFF
2025-09-15,ENGROH,OFF,,first15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,OFF
2025-09-15,ENGROH,OFF,,middle,9.168784004859294,540.3815306040086,1045.250000000014,-413.27000000000544,0.0,91.598469396,-7.012051950504139,589370.9899999999,40,OFF
2025-09-15,ENGROH,OFF,,preclose45,-23.24698015699009,-325.1810831339931,95.93000000001228,-399.3500000000054,0.0,21.761083134,-28.549266876845703,139881.0,8,OFF
2025-09-15,ENGROH,OFF,,last15,82.57599317290563,671.6176374010022,-29.15999999999758,107.79999999999814,605.6700000000017,12.692362599000004,13.254107051873248,81333.28,10,OFF
2025-09-15,BAFL,OFF,,first15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,OFF
2025-09-15,BAFL,OFF,,middle,9.236341013290128,272.823160922997,361.3449999999664,-42.59499999996939,0.0,45.92683907700001,-1.442040126394737,295380.13,35,OFF
