[02:05:36] pre-pass: dates + symbol universe
[02:05:36] [flow-full] 38 names x 60 dates, 6 workers, half-lives [2.0, 5.0, 15.0]s
[02:21:18]   date 21/60 done (12354 rows, 15.7 min)
[02:21:27]   date 22/60 done (12916 rows, 15.8 min)
[02:22:14]   date 23/60 done (13558 rows, 16.6 min)
[02:22:27]   date 24/60 done (14153 rows, 16.9 min)
[02:24:06]   date 25/60 done (14773 rows, 18.5 min)
[02:24:49]   date 26/60 done (15348 rows, 19.2 min)
[02:26:06]   date 27/60 done (15957 rows, 20.5 min)
[02:26:48]   date 28/60 done (16559 rows, 21.2 min)
[02:26:57]   date 29/60 done (17214 rows, 21.3 min)
[02:27:08]   date 30/60 done (17805 rows, 21.5 min)
[02:28:53]   date 31/60 done (18418 rows, 23.3 min)
[02:29:11]   date 32/60 done (19026 rows, 23.6 min)
[02:30:39]   date 33/60 done (19666 rows, 25.1 min)
[02:30:51]   date 34/60 done (20248 rows, 25.3 min)
[02:31:12]   date 35/60 done (20839 rows, 25.6 min)
[02:32:15]   date 36/60 done (21460 rows, 26.6 min)
[02:32:16]   date 37/60 done (22073 rows, 26.7 min)
[02:33:23]   date 38/60 done (22678 rows, 27.8 min)
[02:33:43]   date 39/60 done (23288 rows, 28.1 min)
[02:34:34]   date 40/60 done (23866 rows, 29.0 min)
[02:34:35]   date 41/60 done (24479 rows, 29.0 min)
[02:35:02]   date 42/60 done (25098 rows, 29.4 min)
[02:35:20]   date 43/60 done (25663 rows, 29.7 min)
[02:36:07]   date 44/60 done (26221 rows, 30.5 min)
[02:36:13]   date 45/60 done (26793 rows, 30.6 min)
[02:37:01]   date 46/60 done (27354 rows, 31.4 min)
[02:39:02]   date 47/60 done (27953 rows, 33.4 min)
[02:39:15]   date 48/60 done (28564 rows, 33.6 min)
[02:39:24]   date 49/60 done (29154 rows, 33.8 min)
[02:40:10]   date 50/60 done (29731 rows, 34.6 min)
[02:40:24]   date 51/60 done (30343 rows, 34.8 min)
[02:41:18]   date 52/60 done (30932 rows, 35.7 min)
[02:43:00]   date 53/60 done (31537 rows, 37.4 min)
[02:43:26]   date 54/60 done (32106 rows, 37.8 min)
[02:43:54]   date 55/60 done (32703 rows, 38.3 min)
[02:44:00]   date 56/60 done (33277 rows, 38.4 min)
[02:44:16]   date 57/60 done (33837 rows, 38.7 min)
[02:44:20]   date 58/60 done (34456 rows, 38.7 min)
[02:45:55]   date 59/60 done (35021 rows, 40.3 min)
[02:47:20]   date 60/60 done (35617 rows, 41.7 min)
[02:47:20] ===== AGGRESSOR FLOW (full): MOMENTUM vs REVERSION by fade speed =====
[02:47:20]   momentum score = avg forward move IN THE FLOW DIRECTION (day-as-unit).
[02:47:20]   +ve = MOMENTUM (pull the exposed side).  -ve = MEAN REVERSION (lean in).

[02:47:20]   --- REGIME (fire at |z|>=2.0) ---
[02:47:20]    [first15]
[02:47:20]       OBI(ref)      1s:+1.25  5s:+1.86  30s:+4.17
[02:47:20]    [middle]
[02:47:20]       OBI(ref)      1s:+0.52  5s:+0.89  30s:+2.08
[02:47:20]       flow 5s       1s:+22.29  5s:+67.09  30s:+110.63
[02:47:20]       flow 15s       1s:+4.79  5s:+9.69  30s:+23.67
[02:47:20]    [preclose45]
[02:47:20]       OBI(ref)      1s:+0.51  5s:+0.82  30s:+1.65
[02:47:20]       flow 2s       1s:+2.49  5s:+2.47  30s:+18.88
[02:47:20]       flow 5s       1s:+1.72  5s:+3.67  30s:+26.57
[02:47:20]       flow 15s       1s:+1.32  5s:+2.96  30s:+8.61
[02:47:20]    [last15]
[02:47:20]       OBI(ref)      1s:+1.01  5s:+1.24  30s:+1.74
[02:47:20]       flow 2s       1s:-1.05  5s:+2.05  30s:+6.76
[02:47:20]       flow 5s       1s:+1.21  5s:+3.94  30s:+8.62
[02:47:20]       flow 15s       1s:+1.10  5s:+2.18  30s:+4.19
[02:47:20] 
  --- ADDS ON TOP OF OBI (5s momentum among OBI-calm rows) ---
[02:47:20]   (clearly non-zero => flow flags 5s moves OBI misses)
[02:47:20]    [middle]
[02:47:20]       flow 2s   N1.0:+0.47  N1.5:+4.90  N2.0: +nan  N2.5: +nan
[02:47:20]       flow 5s   N1.0:+0.53  N1.5:+1.85  N2.0:-24.56  N2.5: +nan
[02:47:20]       flow 15s   N1.0:+0.68  N1.5:+1.16  N2.0:+7.38  N2.5:+4.96
[02:47:20]    [preclose45]
[02:47:20]       flow 2s   N1.0:+0.44  N1.5:+2.91  N2.0: +nan  N2.5: +nan
[02:47:20]       flow 5s   N1.0:+0.48  N1.5:-0.66  N2.0:+10.38  N2.5: +nan
[02:47:20]       flow 15s   N1.0:+0.57  N1.5:+0.97  N2.0:+3.81  N2.5: +nan
[02:47:20] 
  READ: pick the half-life with the strongest, most consistent signal.
[02:47:20]         all + across horizons -> momentum -> aggressor-flow THROTTLE.
[02:47:20]         + at 1s then - at 30s -> short momentum then reversion.
[02:47:20] [flow-full] outputs -> /Users/shazzak/Capital Stake - Results/diagnostics
