date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2025-09-11,UBL,6955,134,1512,851,5,0,-454.0,442.227217837004,521.0006824689626,True,0.0,True,0.3825
2025-09-11,PPL,38831,708,8205,3604,284,0,-428.0,1312.4497977349674,1320.9499312349653,True,0.0,True,0.1896
2025-09-12,UBL,16913,320,4846,1768,50,376,-523.0,3653.5315059901914,3903.750620880164,True,0.0,True,0.2657
2025-09-12,PPL,29237,705,8015,3599,232,1347,-334.0,-933.628362775009,-912.0104966750077,True,0.0,True,0.1481
2025-09-15,UBL,8024,278,2279,1456,13,0,-545.0,638.2675949590048,664.6659904939879,True,0.0,True,0.2621
2025-09-15,PPL,18905,497,5341,3026,97,0,-65.0,-868.0807125280426,-863.8711175280423,True,0.0,True,0.1614
2025-09-16,UBL,8764,277,2316,1438,13,0,-519.0,-730.2769258740882,-666.1725770370977,True,0.0,True,0.2628
2025-09-16,PPL,25785,634,7017,3591,84,0,-202.0,-464.98076357095124,-449.8356321749452,True,0.0,True,0.2164
2025-09-17,UBL,9138,149,1473,948,4,0,-543.0,244.78793518003658,395.9798777800461,True,0.0,True,0.313
2025-09-17,PPL,37557,499,7124,2915,119,0,-390.0,156.39537588399253,169.9299156039924,True,0.0,True,0.1727
2025-09-18,UBL,8185,225,2016,1163,13,0,-547.0,-1346.1921614939638,-1221.1344615339767,True,0.0,True,0.384
2025-09-18,PPL,26168,637,7467,3275,99,0,500.0,-981.871249678079,-924.4120496780815,True,0.0,True,0.1465
2025-09-19,UBL,20389,354,3675,1383,13,539,-519.0,332.7361041950935,360.21647430511075,True,0.0,True,0.2225
2025-09-19,PPL,55902,1027,12335,3558,406,1769,-80.0,-2433.3736427410586,-2429.7882515410565,True,0.0,True,0.1334
2025-09-22,UBL,18750,330,3606,1486,148,0,-501.0,4463.0290797337075,4501.762166283734,True,0.0,True,0.2883
2025-09-22,PPL,35172,767,8620,3726,194,0,194.0,-414.2168982910953,-410.3265002791013,True,0.0,True,0.1983
2025-09-23,UBL,12585,392,3380,1994,26,0,-527.0,-2174.4310271718714,-2133.4155367868952,True,0.0,True,0.1701
2025-09-23,PPL,39556,662,8411,3337,290,0,-484.0,-444.4118137470505,-413.69346588604094,True,0.0,True,0.256
2025-09-24,UBL,10521,273,2300,1354,4,0,-279.0,-206.4252465430036,-118.53884572199604,True,0.0,True,0.2193
2025-09-24,PPL,79398,1086,15545,4486,439,4176,-278.0,-6255.741754029965,,False,278.0,True,0.2074
2025-09-25,UBL,7890,195,1688,1092,3,0,-454.0,296.4089316869504,422.6611333869514,True,0.0,True,0.2798
2025-09-25,PPL,50759,1063,11952,5580,280,15,-497.0,-1581.06509543609,-1471.4657754060754,True,0.0,True,0.1627
2025-09-26,UBL,16503,463,4611,2532,107,517,-189.0,970.802162293985,1085.5096976239874,True,0.0,True,0.2519
2025-09-26,PPL,45988,785,9716,3596,587,1656,406.0,-1755.2169308339217,-1728.323459571926,True,0.0,True,0.2479
2025-09-29,UBL,10723,348,3079,1709,10,0,-458.0,-887.8713679451321,-851.5986353971239,True,0.0,True,0.2237
2025-09-29,PPL,26586,703,7834,3465,211,0,-402.0,-1539.9643250380032,-1434.9773618379986,True,0.0,True,0.1989
2025-09-30,UBL,15993,342,4123,2305,57,0,-512.0,-5695.114380044775,-5550.158668944758,True,0.0,True,0.3
2025-09-30,PPL,27842,642,6896,3386,118,16,-483.0,-1760.2912764238426,,True,0.0,True,0.2436
2025-10-01,UBL,9987,309,2456,1782,0,0,-468.0,744.0399729569617,788.5010498249321,True,0.0,True,0.2551
2025-10-01,PPL,26210,736,5348,3454,10,0,-434.0,-192.62635766807944,-164.0201330280688,True,0.0,True,0.2002
2025-10-02,UBL,11745,323,3068,1957,18,0,-536.0,-973.4783436548896,-849.7485699748795,True,0.0,True,0.302
2025-10-02,PPL,22939,614,6029,3262,117,0,-457.0,-1354.1274021499848,-1269.211696088969,True,0.0,True,0.1867
2025-10-03,UBL,15841,534,5522,2699,148,2,-535.0,-4493.111298997072,-4473.725359997072,True,0.0,True,0.1537
2025-10-03,PPL,21318,528,5528,2580,111,1,-189.0,924.3163359089376,942.4095217469367,True,0.0,True,0.1943
2025-10-06,UBL,12432,369,3410,1963,33,0,-259.0,2185.3462305378634,2338.9378362618736,True,0.0,True,0.2627
2025-10-06,PPL,24761,600,6076,3023,155,0,-196.0,-497.37880705801945,-435.485604246016,True,0.0,True,0.2327
2025-10-07,UBL,11412,320,2972,1549,47,5,-501.0,2858.385532723769,,True,0.0,True,0.2762
2025-10-07,PPL,24961,608,6559,3042,142,0,-435.0,-1435.7353911969549,-1416.0272276919568,True,0.0,True,0.246
2025-10-08,UBL,14832,312,3537,1777,13,3,-534.0,-17757.093869082106,,False,534.0,True,0.231
2025-10-08,PPL,25803,523,5937,2938,106,0,-540.0,1761.1869844809116,1809.8876755809179,True,0.0,True,0.2177
2025-10-09,UBL,12269,403,3769,2221,27,7,97.0,-2124.600819027917,,False,97.0,True,0.2632
2025-10-09,PPL,24454,674,7120,3834,227,0,-165.0,1172.4685566739354,1231.408133054938,True,0.0,True,0.228
2025-10-10,UBL,10905,237,2769,1493,41,1052,-393.0,-17168.283998724015,,False,393.0,True,0.2393
2025-10-10,PPL,28250,522,6519,3013,176,1026,318.0,50.49420384997211,59.95809659197403,True,0.0,True,0.2133
2025-10-13,UBL,12057,382,3615,2179,41,4,-464.0,-8116.754898916217,,False,264.0,True,0.2643
2025-10-13,PPL,37652,862,8599,4080,203,0,-456.0,3255.305249808036,3295.9112107680266,True,0.0,True,0.1983
2025-10-14,UBL,13571,340,4655,2588,58,624,-332.0,-17780.47152335776,,False,332.0,True,0.2455
2025-10-14,PPL,37869,812,10571,4702,233,0,-527.0,-2253.6553486810444,-2219.566605060041,True,0.0,True,0.1538
2025-10-15,UBL,22995,677,8591,4363,80,0,-506.0,2226.1889551040367,2324.929709084041,True,0.0,True,0.1666
2025-10-15,PPL,44568,726,10175,3878,331,0,-526.0,-653.1347474137874,-632.4687176337757,True,0.0,True,0.209
2025-10-16,UBL,11487,377,4191,2676,18,2,-511.0,-20231.42186409887,,False,511.0,True,0.1947
2025-10-16,PPL,25384,605,7049,3596,139,0,310.0,-595.0890575189478,-496.99519254893676,True,0.0,True,0.1887
2025-10-17,UBL,9618,220,2386,1272,20,993,-333.0,-12918.27990338995,,False,333.0,True,0.2666
2025-10-17,PPL,28627,551,6635,3224,160,901,-444.0,-1674.1650272728148,-1624.3130289028195,True,0.0,True,0.1969
2025-10-20,UBL,12288,365,4364,2536,15,5,-22.0,-1289.0506955780238,,True,0.0,True,0.2355
2025-10-20,PPL,23372,532,6617,3460,95,18,362.0,-1162.034546853014,-984.1862638040038,True,0.0,True,0.1822
2025-10-21,UBL,16204,485,5859,3656,25,5,269.0,-10050.763991980988,,False,269.0,True,0.188
2025-10-21,PPL,37508,666,8379,4489,151,2540,299.0,-5248.2394365430155,,False,299.0,True,0.2184
2025-10-22,UBL,13346,375,4179,2640,10,860,332.0,-13135.929389040117,,False,332.0,True,0.2603
2025-10-22,PPL,49999,740,9273,3948,356,3510,-524.0,674.0367530550429,,True,0.0,True,0.2123
2025-10-23,UBL,11397,308,3239,2056,3,0,-171.0,-1714.5784441218057,-1667.5947708888125,True,0.0,True,0.2404
2025-10-23,PPL,41821,592,8220,3984,128,3731,371.0,-8308.759287743167,,False,371.0,True,0.1805
2025-10-24,UBL,9685,225,2158,1334,11,1097,207.0,-787.7840441539593,-700.9743299539696,True,0.0,True,0.2799
2025-10-24,PPL,38897,514,7449,3703,98,3869,513.0,-1714.1226970629505,-1696.1115020169527,True,0.0,True,0.1476
2025-10-27,UBL,9854,387,3328,2110,14,0,117.0,-1239.2434132631533,-1230.1033179741498,True,0.0,True,0.262
2025-10-27,PPL,23170,477,5316,3008,88,2232,295.0,-952.1121912649905,,True,0.0,True,0.1993
2025-10-28,UBL,7891,338,2952,1846,22,0,380.0,-1696.2198260390433,-1496.7232945890573,True,0.0,True,0.3305
2025-10-28,PPL,20698,469,5155,3028,61,1794,362.0,-2499.350069156033,,True,0.0,True,0.2356
2025-10-29,UBL,9328,315,2961,1841,13,0,-93.0,703.3671796569615,788.7883634859609,True,0.0,True,0.3441
2025-10-29,PPL,25838,601,6777,3845,74,1733,-191.0,-1062.7632707787197,,True,0.0,True,0.2094
2025-10-30,UBL,7718,262,1919,1304,6,0,-511.0,1366.4747069799341,1431.908103679947,True,0.0,True,0.298
2025-10-30,PPL,19568,503,5760,3073,93,1474,144.0,-1047.125920540977,,True,0.0,True,0.221
2025-10-31,UBL,11412,291,2333,1459,13,854,-73.0,-8069.150937196206,-8030.461506596206,True,0.0,True,0.2489
2025-10-31,PPL,24259,581,5933,3277,72,3649,471.0,-128.58696194909862,,True,0.0,True,0.1477
2025-11-03,UBL,9795,247,2133,1354,20,0,472.0,28.71181344377692,188.8780924367893,True,0.0,True,0.2398
2025-11-03,PPL,24888,488,6173,3501,96,0,430.0,-328.5816884550004,-275.01679184500244,True,0.0,True,0.1915
2025-11-04,UBL,7968,210,1569,1068,6,0,-201.0,-746.4602057800075,-687.9434836319997,True,0.0,True,0.2628
2025-11-04,PPL,24697,637,6559,3680,138,1820,519.0,-184.13806300002034,,True,0.0,True,0.2101
2025-11-05,UBL,8741,259,2188,1457,6,0,-555.0,-1812.4678003468143,-1574.132618546806,True,0.0,True,0.3259
2025-11-05,PPL,24198,481,5759,3325,89,0,-86.0,-979.8433062840049,-972.5871661060046,True,0.0,True,0.1996
2025-11-06,UBL,6690,143,1229,913,0,851,-547.0,-19021.674058979,,False,547.0,True,0.3171
2025-11-06,PPL,17367,494,4115,2717,39,0,-305.0,-91.2389410950127,-79.2711909700156,True,0.0,True,0.176
2025-11-07,UBL,8102,165,1269,753,17,939,399.0,-4086.3421490290784,-3974.950785379071,True,0.0,True,0.2853
2025-11-07,PPL,21750,311,3856,1905,83,2535,356.0,-227.37769063498126,-159.9186002229835,True,0.0,True,0.1836
2025-11-10,UBL,7562,175,1723,1164,4,0,-40.0,774.1366461840425,788.6983233440424,True,0.0,True,0.2861
2025-11-10,PPL,25147,421,5557,2838,82,0,518.0,1378.4700049149833,1393.8614798109775,True,0.0,True,0.1895
2025-11-11,UBL,11035,385,2963,1877,15,0,-426.0,2691.1478950720048,2775.748768671998,True,0.0,True,0.2521
2025-11-11,PPL,31586,837,8387,4455,166,0,527.0,-4318.213509463007,-4128.360171973007,True,0.0,True,0.2131
2025-11-12,UBL,5781,183,1510,1031,9,0,308.0,-166.50024851600756,-73.76328690901573,True,0.0,True,0.2745
2025-11-12,PPL,37879,778,9229,4579,142,0,-69.0,-234.9300551798624,-232.63107793986273,True,0.0,True,0.1742
2025-11-13,UBL,4536,123,1187,727,2,630,-347.0,-12596.176168189966,,False,347.0,True,0.3288
2025-11-13,PPL,20449,453,5093,2769,64,0,-486.0,-961.6962866969698,-927.8231889449817,True,0.0,True,0.2083
