symbol,n_days_screened,n_days_top20,n_days_material,n_days_tradeable,median_rank,best_rank,n_days_top20_rankonly,days_traded,days_unscreenable,pct_days_unscreenable,pct_days_top20,pct_days_top20_screened,pct_days_top20_rankonly,pct_days_material,pct_days_tradeable,n_days_level,ceiling_median,ceiling_p25,ceiling_p75,ceiling_max,ceiling_raw_median,notional_m_median,spread_bps_median,pct_time_wide_median,mk1_bps_median,mk5_bps_median,mk10_bps_median,mk60_bps_median,pct_days_edge5_pos,pct_days_edge10_pos,ceiling_iqr,iqr_over_median,net5_trec_median,net10_trec_median
HINOON,207,2,60,207,180.0,11.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.2898550724637681,1.0,186.0,17445.907749475467,6994.968745265433,31798.57227320398,682271.2151718274,27237.846434000112,17.093430405,35.05289312724559,0.563832691492266,11.341093201754571,11.384652745510767,11.629059664875017,11.892823184077987,0.9354838709677419,0.9516129032258065,24803.603527938547,1.4217433614874122,10.604652745510768,10.849059664875018
GHGL,207,2,68,207,173.0,1.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.3285024154589372,1.0,186.0,16354.192414023277,7164.80686062576,45938.379060414576,2156649.1100885724,23054.836709499978,12.835262884999999,41.78084269912753,0.6195445997874254,10.052461252105875,10.996532791888171,10.558718394136895,10.14575969657563,0.9247311827956989,0.9086021505376344,38773.57219978882,2.370864376436071,10.216532791888172,9.778718394136895
ABOT,207,2,42,207,225.0,1.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.2028985507246377,1.0,186.0,7840.21374243321,3600.4824157879802,22604.64963546354,1716054.408827313,16218.16712450005,11.92969539,36.390769587154296,0.5794470124978599,9.17838151823953,9.172486415995131,9.969261045842767,9.979160068704168,0.9301075268817204,0.9408602150537635,19004.167219675557,2.4239348369828515,8.392486415995132,9.189261045842768
INIL,207,2,72,207,173.0,3.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.34782608695652173,1.0,186.0,19879.76343312618,9697.654558409333,46144.91209258785,386809.2774656048,27966.954981999916,14.79626978,46.846741483201185,0.6830358333703819,8.355260144953212,8.531685494316504,8.902151606198359,10.396991737823619,0.9247311827956989,0.8924731182795699,36447.25753417852,1.8333848718463863,7.7516854943165034,8.12215160619836
SPWL,207,2,34,207,253.0,5.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.1642512077294686,1.0,186.0,7381.383411960933,3681.842306244787,15270.796197444133,634408.976636574,9714.582294999964,5.261476249999999,30.737906594241778,0.5064234063285297,7.648862471922522,8.04776364404431,7.81421725941875,8.718218687975618,0.8548387096774194,0.8763440860215054,11588.953891199346,1.5700246477402036,7.267763644044309,7.0342172594187495
TGL,207,2,112,207,127.0,12.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.5410628019323671,1.0,186.0,34253.68933701714,15444.70973705041,77168.81514719101,498210.6561246357,44961.663381999904,29.71214207,33.352216897252205,0.522527949733016,7.540818842800963,7.518855820377758,7.893509120292273,8.32772124206695,0.9247311827956989,0.9086021505376344,61724.1054101406,1.8019695572890257,6.738855820377758,7.113509120292273
ECOP,206,2,47,206,216.0,13.0,2,207,1,0.004830917874396135,0.00966183574879227,0.009708737864077669,0.00966183574879227,0.22705314009661837,0.9951690821256038,185.0,13497.31951955106,4661.758159523924,28527.95824432652,485156.3035795438,18591.96195200001,7.424504939999999,39.856516540454365,0.6048632218844985,7.224821146128991,7.2593303104289335,7.32155054644818,7.3703675749113895,0.8648648648648649,0.8432432432432433,23866.200084802596,1.76821775984721,6.479330310428933,6.54155054644818
LPL,207,2,48,207,230.0,1.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.2318840579710145,1.0,186.0,10777.35478956101,3829.539823622614,30230.885230161857,3059434.1773595437,17976.743271500054,7.267981185,49.782414696441435,0.712636032948533,6.874105409027349,6.970572426766876,6.363319386331912,9.442088366776085,0.8172043010752689,0.7526881720430108,26401.345406539243,2.4497055095663822,6.190572426766876,5.583319386331912
AGL,207,2,75,207,166.0,4.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.36231884057971014,1.0,186.0,17938.746313511583,9422.388097247382,43246.91403547153,1500891.6296300893,26891.40806149996,14.92857935,38.33804426108847,0.6046736990269513,6.885081139121999,6.811714827977056,6.534170507357401,7.055524980936868,0.8655913978494624,0.8763440860215054,33824.52593822415,1.8855568470103896,6.031714827977056,5.754170507357401
ACPL,207,2,84,206,171.0,11.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.4057971014492754,0.9951690821256038,186.0,19486.91282082197,5860.158430167219,57906.11668193391,852357.8543095604,35630.86841799991,24.035618499999998,32.10353187363998,0.5733799217731421,6.3409747186044205,6.400432665375154,6.143133633173553,6.917216162325864,0.9086021505376344,0.8924731182795699,52045.95825176669,2.6708159845696566,5.620432665375154,5.363133633173553
HALEON,207,2,101,207,131.0,13.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.48792270531400966,1.0,186.0,28406.920615689764,14312.063509431136,51244.42981023312,612412.8819769131,41731.397323500234,39.584335865,20.69903689694351,0.3208250659242065,6.2346274837208995,6.389799835949722,6.245768674412037,6.355226358724732,0.9516129032258065,0.956989247311828,36932.36630080199,1.300118615475816,5.609799835949722,5.465768674412037
OCTOPUS,207,2,43,207,195.0,16.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.20772946859903382,1.0,186.0,13675.755079486678,8481.208106697093,24192.931098917674,369976.46880145074,19301.81978000007,13.490850409999998,28.169038920001924,0.47186991467651845,6.018672842665437,6.106611961724332,6.133699020276664,6.533449198822215,0.9408602150537635,0.9301075268817204,15711.72299222058,1.1488742596588182,5.326611961724332,5.353699020276664
AKDSL,207,2,79,206,166.0,11.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.38164251207729466,0.9951690821256038,186.0,20661.046824916062,8378.484648333902,63337.63353826269,545398.3160015027,27056.19033499995,14.019144559999997,49.641855778498524,0.7247721306156161,5.691187389555028,5.701064179308104,5.020861824490667,5.639611259398576,0.7473118279569892,0.7688172043010753,54959.148889928794,2.660036994042874,4.921064179308104,4.240861824490667
SYM,207,2,79,207,162.0,5.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.38164251207729466,1.0,186.0,23502.020574481707,12328.747822168574,41056.25993996847,1018266.7218675783,29858.03423650006,22.231925915,18.88574126534426,0.2655381512653594,5.641218599103906,5.670522341167802,5.461387529073115,6.416383297660775,0.9623655913978495,0.946236559139785,28727.512117799895,1.2223422248635074,4.890522341167801,4.681387529073115
KAPCO,207,2,52,207,178.0,8.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.25120772946859904,1.0,186.0,15296.454798382641,8381.869811307724,28564.504390076938,710865.0401555526,20450.633522000073,28.821218060000003,11.617995711835665,0.13171095500106283,3.6394387279719935,3.669543598646202,3.7913026625705153,4.131236002239598,0.9301075268817204,0.9193548387096774,20182.63457876921,1.3194321720156494,2.8895435986462017,3.0113026625705155
FCL,207,2,73,207,160.0,15.0,2,207,0,0.0,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.3526570048309179,1.0,186.0,22936.721313239002,13219.78832494239,47836.08270800892,349810.0076555016,26717.803952999744,39.258862875,12.850833040319936,0.16297581703250416,3.110979407166268,3.3341949866831904,3.118918357428236,3.5335258354363352,0.9139784946236559,0.9032258064516129,34616.29438306653,1.5092084832144739,2.55419498668319,2.338918357428236
