tier,symbol,net5_trec_median,pct_days_edge5_pos,pct_days_top20,spread_bps_median,notional_m_median,ceiling_median,days_traded,edge_x_notional
A_fat_edge,FNEL,6.553236168051976,0.9516129032258064,0.2850241545893719,25.945419559187627,136.5567281,193339.78348573812,207,894.8884895757595
A_fat_edge,TPL,5.172525572606446,0.8858695652173914,0.1594202898550724,36.838108528518006,41.047841055,71744.10918072436,207,212.32100755727225
A_fat_edge,BAFL,4.503989780309694,0.9838709677419356,0.1932367149758454,21.3418839270175,169.144212955,128982.41590756104,207,761.8238065478465
A_fat_edge,AKBL,4.421985645623663,0.9731182795698924,0.2077294685990338,24.42504128739776,185.70873368999997,158949.7533627145,207,821.2013546441275
A_fat_edge,PACE,4.338237993216485,0.967741935483871,0.323671497584541,22.753128555176257,195.51632605,219009.56231747713,207,848.1963539642121
A_fat_edge,PIOC,3.8625143953934895,0.9516129032258064,0.1739130434782608,24.43861604756711,71.48498315,88796.68146108655,207,276.11177647133604
A_fat_edge,PIAHCLA,2.4359833776037707,0.9301075268817204,0.2077294685990338,15.477011742048962,146.209598745,114194.0957612718,207,356.1641521889371
B_volume,PPL,1.3314650677974729,0.956989247311828,0.7729468599033816,7.352050055018674,1439.332896085,471958.986563951,207,1916.4214720689474
B_volume,KEL,3.8604520593551106,0.9946236559139784,0.4492753623188406,14.336917562724985,343.76056692000003,276396.7391334418,207,1327.0711884913944
B_volume,NBP,0.9519019419052056,0.9623655913978496,0.7632850241545893,8.707370850020965,1368.2876942500002,508306.2325860448,207,1302.4757132415714
B_volume,BOP,1.000151842306625,0.946236559139785,0.5072463768115942,5.752915386884887,1293.46185956,314489.30060005933,207,1293.658261792287
B_volume,LUCK,1.8255496256606116,0.989247311827957,0.429951690821256,8.72435214480725,704.7684495149999,249398.2477140744,207,1286.5897791895177
B_volume,PSO,1.054572048224532,0.956989247311828,0.5169082125603864,6.571585916088662,1193.63820513,333951.6031315719,207,1258.777486822998
B_volume,UBL,2.2332630354263037,0.978494623655914,0.4396135265700483,9.554889245652133,555.34354128,231819.6401045929,207,1240.2282027033655
B_volume,OGDC,0.8746777153813052,0.9516129032258064,0.5797101449275363,5.7026691169701405,1378.0486502549998,320496.89741693897,207,1205.3484450893345
B_volume,ENGROH,2.3956413319368917,0.9731182795698924,0.323671497584541,10.6087144181515,491.728472995,201999.56395420525,207,1178.0050539970357
B_volume,FFC,1.1152008266419895,0.9623655913978496,0.3671497584541063,6.447276160473553,993.201999985,261932.28932682727,207,1107.6196914057493
B_volume,HUBC,1.0838863800976966,0.9516129032258064,0.3816425120772946,4.718120146890317,956.575784225,240376.64821711145,207,1036.8194640527506
B_volume,HBL,2.3115063005284826,0.989247311827957,0.3381642512077294,13.74878105093175,411.22030536,203733.9562238624,207,950.5383267448865
B_volume,MLCF,1.4596299585967625,0.956989247311828,0.4154589371980676,7.770352978808401,649.027716495,250714.46281393257,207,947.3402989557483
B_volume,MEBL,1.526447289744121,0.956989247311828,0.2270531400966183,7.05227963719479,589.9697855249999,164075.33536897873,207,900.5577801455564
B_volume,SYS,2.611891356320611,0.9946236559139784,0.1545893719806763,7.772280487060911,300.50339044,149410.61090172362,207,784.8822080352737
B_volume,MARI,1.232832435879691,0.956989247311828,0.1739130434782608,6.010638967338934,618.651269885,172861.8635631307,207,762.6933520123887
B_volume,NRL,1.2900092000114871,0.9516129032258064,0.3816425120772946,12.225659994761504,553.8411997850001,296096.15120457445,207,714.4602430680502
B_volume,DGKC,0.993023220905486,0.9247311827956988,0.4009661835748792,9.321423022130666,710.672953195,260628.10205840543,207,705.7147449921126
B_volume,PTC,1.3652984625447366,0.9193548387096774,0.4685990338164251,12.330460913693628,500.728542405,312024.16005065764,207,683.6439090978134
B_volume,PIBTL,2.2567933506754994,0.978494623655914,0.2028985507246377,12.172854534388057,301.308702875,210319.2655770261,207,679.9914771489597
B_volume,HASCOL,2.045693131695079,0.8817204301075269,0.3043478260869565,12.36476161427574,312.99849462500003,180711.1388101339,207,640.2988706852616
B_volume,SAZEW,1.8031355868769408,0.967741935483871,0.2415458937198067,7.666947788085563,344.26810205999993,150355.75399691693,207,620.7620662509685
B_volume,ATRL,0.9558564528801792,0.9301075268817204,0.3478260869565217,9.199570876930265,641.4959424450001,216742.68152007705,207,613.1780360825054
B_volume,NCPL,2.2109962571121375,0.9301075268817204,0.3429951690821256,13.175983227184254,260.502090395,125193.31328482684,207,575.9691468332327
B_volume,NML,2.248252691082853,0.9516129032258064,0.217391304347826,13.032116303394371,254.768101965,168205.11565208348,207,572.783070844882
B_volume,PAEL,1.2540981300247365,0.9301075268817204,0.1980676328502415,7.565727255532276,447.13803778,154215.59698332846,207,560.7549770428279
B_volume,SEARL,1.35188584554856,0.956989247311828,0.1980676328502415,7.751028782688856,414.44316679,169791.42699806415,207,560.279850967722
B_volume,THCCL,2.3483208005837266,0.9623655913978496,0.2367149758454106,11.792489727636278,207.572583655,123183.06046097254,207,487.44701582794215
B_volume,NPL,2.4369101264017736,0.913978494623656,0.2318840579710145,14.648176106823104,161.051436465,124621.78024496869,207,392.4678763931104
B_volume,TRG,1.070926505374331,0.8602150537634409,0.2705314009661835,10.330772595715867,344.072844025,174683.85080300143,207,368.47672844590056
B_volume,TOMCL,2.3668685529399323,0.9301075268817204,0.1835748792270531,13.403317048733198,144.437629735,106023.17780964384,207,341.8648836809532
