day_idx_t,n_symbols,spearman
0,458,0.7672770256618834
1,456,0.7345660496756842
2,462,0.7331132881054621
3,462,0.7391877483596451
4,458,0.7205198338282431
5,456,0.7466108856926968
6,458,0.7144033617700316
7,465,0.6936041540086374
8,466,0.6980745192870146
9,463,0.7442071114598149
10,461,0.6858883130245317
11,459,0.6828129378537917
12,460,0.6759871847202078
13,465,0.7079318399704945
14,463,0.704614384518253
15,462,0.7248923030973412
16,467,0.7098149433551838
17,458,0.7327335461585339
18,470,0.7207569306038214
19,463,0.7423170729260709
20,458,0.7549128663137313
21,468,0.7308268272708472
22,462,0.6893396337020326
23,462,0.705663267507432
24,464,0.7406186820481574
25,465,0.7665131761955093
26,465,0.7534152896802531
27,468,0.7532517989388253
28,462,0.7328822098027303
29,463,0.7279947618505934
30,463,0.7556442041516065
31,463,0.7485615214537784
32,460,0.7481780511569313
33,457,0.7193945980287254
34,456,0.6705291893268364
35,454,0.7184192131882566
36,451,0.7510903165966999
37,448,0.6943967259061635
38,446,0.6789878606651046
39,456,0.6741002515447602
40,453,0.7392548117879917
41,444,0.7452943945815579
42,449,0.7260783599752635
43,440,0.663415167504674
44,450,0.6905826676960545
45,455,0.7227466738373594
46,459,0.7261032155604273
47,454,0.7200204171864744
48,445,0.6991844433656441
49,449,0.7082917711116974
50,449,0.7313431649407671
51,452,0.6996634531563638
52,447,0.6872823487985624
53,443,0.6749195232682513
54,452,0.6798258412854011
55,449,0.6912044102520246
56,449,0.6830096572575116
57,443,0.7264999553492204
58,445,0.62585205639277
59,447,0.6673240762375436
60,439,0.6663845408934944
61,447,0.6924230178604995
62,438,0.6412463925784512
63,446,0.6492834300376595
64,450,0.6840902181087022
65,450,0.7052240639930574
66,450,0.7004725187807797
67,440,0.6702208864078807
68,454,0.6484896761501374
69,455,0.6722589222234768
70,463,0.709709744880796
71,455,0.7276527376957812
72,456,0.7110267787474212
73,455,0.6921978760526246
74,458,0.7195400102896634
75,465,0.7504784558537398
76,455,0.7130585035654389
77,457,0.6994411494758496
78,457,0.7227468771029419
79,460,0.6999962644694382
80,459,0.7265991257327706
81,454,0.726747007119724
82,455,0.7018195245799194
83,462,0.6881953231733616
84,462,0.7800632537373365
85,465,0.7572764131745164
86,464,0.7153212456451831
87,461,0.7742381177536728
88,466,0.7480506379621193
89,463,0.7723619115746829
90,469,0.7601074618148547
91,468,0.7622812540499359
92,460,0.7885765749642479
93,463,0.7509176723143723
94,467,0.7260241563955583
95,466,0.7729080489259967
96,465,0.7663581341049824
97,457,0.7639614871626944
98,459,0.7682593388008816
99,466,0.7631697370440316
100,463,0.7320704052474648
101,458,0.7453348973472929
102,461,0.7592580928003668
103,462,0.7847137141120979
104,458,0.7644881567297405
105,461,0.7670955603713326
106,456,0.7309568031425346
107,454,0.7693224759860366
108,456,0.7632170627523298
109,456,0.7329865304115266
110,450,0.7278559592837197
111,458,0.7408868194449234
112,447,0.7096081496857575
113,442,0.7632887288062367
114,449,0.7648569542195497
115,441,0.7512314891028543
116,449,0.7821372234402644
117,437,0.7284782947258014
118,431,0.8053946494238221
119,447,0.7930601814010755
120,449,0.73170514409423
121,449,0.7514559813223691
122,429,0.7601382605889176
123,433,0.6594431014653807
124,452,0.8199617306005411
125,448,0.7860695991113703
126,448,0.7696412420975655
127,427,0.734113534673569
128,431,0.7150003190154713
129,442,0.7640105761747119
130,443,0.786866008128097
131,434,0.7768498744566236
132,425,0.7339774706753915
133,427,0.6765771712610971
134,428,0.6943790469511255
135,444,0.765208593326456
136,415,0.7080353148088875
137,434,0.6939051495062798
138,441,0.713067558529953
139,432,0.735151836602996
140,422,0.6806084393869478
141,422,0.6572335615603592
142,448,0.716878883028789
143,456,0.7937948578620287
144,446,0.7218958242858967
145,422,0.6819710646737093
146,451,0.748462829819046
147,442,0.7297249733917376
148,467,0.6464114392598493
149,457,0.7403535859264185
150,451,0.7322328794217177
151,450,0.7491827231889578
152,453,0.7239048694423751
153,476,0.6439744106516995
154,463,0.7630167679508046
155,456,0.7605741340396339
156,465,0.7592662821968004
157,472,0.7586605587208026
158,469,0.7652045475494292
159,462,0.7189052953975921
160,459,0.7328607219286963
161,465,0.7373704582046818
162,464,0.6862714507415344
163,463,0.7190771773952723
164,458,0.7041719068386845
165,467,0.7192504501746727
166,458,0.6576828442583094
167,464,0.7509233615701812
168,462,0.7213593891243578
169,459,0.6994308363862112
170,465,0.7049227268724579
171,460,0.6698083697557234
172,463,0.7030885338796834
173,462,0.6805999506357411
174,463,0.6910582897161335
175,461,0.6748597964187687
176,452,0.6797801211368255
177,457,0.702983778406244
178,465,0.7263932470915798
179,459,0.6996411211448015
180,471,0.7341956792389143
181,460,0.6556180665730148
182,467,0.6764626801110238
183,467,0.6738697077416894
184,467,0.6228830665096043
185,478,0.6423174518352158
186,477,0.6490412277729959
187,474,0.6496119849232331
188,476,0.6015505358894904
189,469,0.6007926007648485
190,471,0.626839834301848
191,473,0.7098506585501869
192,478,0.6787010742234109
193,479,0.6812764851763327
194,476,0.6680266808979669
195,475,0.677537412049692
196,477,0.7156001504741236
197,468,0.7072257412249804
198,478,0.670012554985304
199,480,0.7254831781061872
200,483,0.697004229321866
201,475,0.7047619047685386
